percentage,transition
7.09,C5_Bb4
6.3,Bb4_A4
5.82,D5_C5
4.8,A4_G4
3.91,A4_Bb4
3.9,Bb4_C5
3.78,G4_G4
3.34,Eb5_D5
3.02,C5_D5
2.91,Bb4_Bb4
2.59,Bb4_D5
2.56,G4_A4
2.32,G4_Bb4
2.16,D5_D5
1.93,G5_G5
1.91,Bb4_G4
1.91,C5_C5
1.6,F5_Eb5
1.44,D5_Eb5
1.41,G4_D4
1.35,D4_G4
1.34,D5_Bb4
1.13,G5_F5
1.06,G5_D5
1.01,D5_G5
0.87,A4_A4
0.86,G4_C5
0.85,A5_G5
0.79,G4_D5
0.73,G4_G5
0.7,F#4_G4
0.68,D5_F5
0.65,A4_C5
0.63,G4_F#4
0.61,Bb5_A5
0.61,C5_A4
0.6,F#5_G5
0.6,F4_Bb4
0.56,G5_F#5
0.52,G4_F4
0.51,D5_G4
0.46,D5_C#5
0.46,C5_Eb5
0.43,Ab4_G4
0.43,C5_G4
0.41,F5_G5
0.37,C#5_D5
0.37,Eb5_C5
0.36,Eb5_F5
0.36,G5_A5
0.35,F4_F4
0.34,F5_F5
0.33,Bb4_F4
0.28,C5_F5
0.28,Db5_C5
0.27,D4_Bb4
0.26,Ab5_G5
0.26,Bb4_Ab4
0.26,F#4_A4
0.26,F4_G4
0.26,G4_Eb5
0.24,A5_Bb5
0.24,Eb5_Eb5
0.23,F5_E5
0.23,D4_F#4
0.23,F5_D5
0.23,G5_G4
0.21,G5_Bb5
0.21,D4_D4
0.19,F#4_D4
0.19,A4_F#4
0.19,C#5_Bb4
0.18,D5_Bb5
0.17,A4_D5
0.15,Bb5_Bb5
0.15,G4_Ab4
0.15,E5_F5
0.15,F5_C5
0.15,F#5_Eb5
0.14,C5_G5
0.14,D5_A4
0.14,C5_Db5
0.14,Bb4_C#5
0.14,E5_D5
0.13,G4_G3
0.13,G5_Ab5
0.13,Bb4_D4
0.12,G5_C5
0.12,G5_Eb5
0.12,Bb5_D6
0.12,Bb4_F5
0.12,F#5_F#5
0.11,D6_D6
0.11,D4_E4
0.11,D6_C#6
0.11,E4_F#4
0.1,Bb5_G5
0.1,A4_D4
0.1,Ab4_Ab4
0.1,G4_F#5
0.09,F5_Bb5
0.09,F#4_F#4
0.09,G5_Bb4
0.09,C6_Bb5
0.09,C#5_E5
0.08,C#6_Bb5
0.08,C5_B4
0.08,Eb4_D4
0.08,F5_Db5
0.08,F4_F5
0.08,Eb5_G5
0.08,D5_F#5
0.08,A5_A5
0.08,D5_D6
0.08,D4_C5
0.08,F5_Ab5
0.07,F#5_A5
0.07,G5_D4
0.07,D6_Bb5
0.07,Bb5_C6
0.07,G4_F5
0.06,E4_F4
0.06,D5_D4
0.06,Bb4_Eb5
0.06,A4_F4
0.06,C5_F4
0.06,A4_Eb5
0.06,E5_Db5
0.06,F#5_D5
0.06,C5_C6
0.06,G3_Bb3
0.06,G5_A4
0.06,F4_E4
0.06,A5_F#5
0.06,D5_E5
0.06,Bb4_Bb5
0.06,Bb4_G5
0.06,Bb3_D4
0.05,D6_C6
0.05,F#4_Eb4
0.05,D6_D5
0.05,B4_C5
0.05,D5_F#4
0.05,A5_D5
0.05,G4_C#5
0.05,A4_A5
0.05,D5_A5
0.04,C6_D6
0.04,D4_A4
0.04,Eb4_F4
0.04,G3_D4
0.04,A4_C#5
0.04,G4_A5
0.04,C#6_D6
0.04,C6_A5
0.04,C#5_C#5
0.04,E5_Eb5
0.04,F4_Ab4
0.03,Bb3_A3
0.03,G5_D6
0.03,C6_C6
0.03,Bb5_Bb4
0.03,B4_Bb4
0.03,C#5_Eb5
0.03,C#5_A4
0.03,D6_C5
0.03,C5_C#5
0.03,G3_Bb4
0.03,D5_F4
0.03,F#5_F5
0.03,G3_D5
0.03,C6_Bb4
0.03,D4_G3
0.03,Ab5_F5
0.03,F5_A5
0.03,Eb5_A5
0.03,F4_D5
0.03,D4_Eb4
0.03,F6_E6
0.03,D6_F6
0.03,Eb4_Eb5
0.03,F4_Eb4
0.03,A5_C6
0.03,A5_D6
0.03,Eb5_F#5
0.03,Db5_F5
0.03,D4_D5
0.03,G3_G4
0.03,E6_D6
0.03,G5_E5
0.03,A5_C5
0.03,Eb6_D6
0.03,G5_G3
0.03,D6_A5
0.03,Bb5_F#5
0.03,F5_Bb4
0.03,E5_F#5
0.03,Bb5_Ab5
0.02,A4_B4
0.02,Bb4_Bb3
0.02,G5_F4
0.02,F4_C5
0.02,Bb5_D5
0.02,E5_G5
0.02,F5_Eb4
0.02,Ab4_Bb4
0.02,C5_Ab4
0.01,G5_Eb6
0.01,Bb4_A7
0.01,Bb4_Ab5
0.01,D6_Eb6
0.01,D5_C#6
0.01,G5_C6
0.01,Bb4_F#4
0.01,E5_A5
0.01,Bb3_D5
0.01,C6_C5
0.01,A5_E5
0.01,D6_Eb5
0.01,A3_G3
0.01,A7_C5
0.01,C#6_E6
0.01,A7_D5
0.01,F4_D4
0.01,D5_Ab5
0.01,F5_A4
0.01,Ab4_A4
0.01,A3_Bb3
0.01,C6_D5
0.01,F#4_Eb5
0.01,B4_F5
0.01,F#4_C5
0.01,A7_Bb4
0.01,G4_E5
0.01,B4_Gb5
0.01,C#5_C5
0.01,G3_C5
0.01,A7_D4
0.01,Eb5_E5
0.01,Ab4_F4
0.01,Bb4_Db5
0.01,C6_C#6
0.01,Eb5_Eb6
0.01,Db5_Db5
0.01,C5_Eb4
0.01,Bb4_A3
0.01,D5_Bb3
0.01,A4_G3
0.01,C5_A5
0.01,F5_F4
0.01,G5_Db5
0.01,G3_G3
0.01,Bb5_C5
0.01,D6_G5
0.01,Eb5_Eb4
0.01,Eb6_Eb6
0.01,Eb5_A7
0.01,G4_Ab5
0.01,D4_Eb5
0.01,F5_F#5
0.01,B4_A4
0.01,Eb5_C6
0.01,G3_Db5
0.01,C5_A7
0.01,A3_C5
0.01,Bb5_A4
0.01,F5_C#5
0.01,A5_Ab5
0.01,D5_A7
0.01,Gb5_F5
0.01,C5_E5
0.01,F4_E5
0.01,G3_A4
0.01,G3_G5
0.01,D4_F5
0.01,C#6_C#6
0.01,Eb5_D4
0.01,Bb4_B4
0.01,Eb6_D5
